region,attribute,value,az_region_to_deploy_fuzzy_match,whitelistips,is_in_service_tag
UAE North,Log Blob storage,dblogproduaenorth.blob.core.windows.net,uaenorth,['52.239.233.228/32'],no
UAE North,Event Hub endpoint,prod-uaenorth-observabilityeventhubs.servicebus.windows.net,uaenorth,['65.52.250.32/32'],no
UK South,Metastore,consolidated-uksouth-prod-metastore.mysql.database.azure.com and consolidated-uksouth-prod-metastore-addl-1.mysql.database.azure.com,uksouth,['51.105.64.0/32'],no
UK South,Artifact Blob storage primary,dbartifactsproduksouth.blob.core.windows.net,uksouth,"['20.38.106.100/32', '20.38.106.132/32', '52.239.231.228/32']",no
UK South,Artifact Blob storage secondary,dbartifactsprodukwest.blob.core.windows.net,uksouth,['51.141.128.100/32'],no
UK South,Log Blob storage,dblogprodukwest.blob.core.windows.net,uksouth,['20.150.3.228/32'],no
UK South,Event Hub endpoint,prod-ukwest-observabilityeventhubs.servicebus.windows.net,uksouth,['51.140.210.34/32'],no
UK West,Metastore,consolidated-ukwest-prod-metastore.mysql.database.azure.com,ukwest,['51.141.8.11/32'],no
UK West,Artifact Blob storage primary,dbartifactsprodukwest.blob.core.windows.net,ukwest,['51.141.128.100/32'],no
UK West,Artifact Blob storage secondary,dbartifactsproduksouth.blob.core.windows.net,ukwest,"['20.38.106.100/32', '20.38.106.132/32', '52.239.231.228/32']",no
UK West,Log Blob storage,dblogprodukwest.blob.core.windows.net,ukwest,['20.150.3.228/32'],no
UK West,Event Hub endpoint,prod-ukwest-observabilityeventhubs.servicebus.windows.net,ukwest,['51.140.210.34/32'],no
US Gov Arizona,Metastore,consolidated-usgovarizona-prod-metastore-0.mysql.database.usgovcloudapi.net,usgovarizona,['52.244.48.33/32'],no
US Gov Arizona,Artifact Blob storage primary,dbartifactsprodusgariz.blob.core.usgovcloudapi.net,usgovarizona,['52.239.166.10/32'],no
US Gov Arizona,Artifact Blob storage secondary,dbartifactsprodusgvirg.blob.core.usgovcloudapi.net,usgovarizona,['52.126.192.196/32'],no
US Gov Arizona,Log Blob storage,dblogprodusgovvirg.blob.core.usgovcloudapi.net,usgovarizona,['52.227.128.46/32'],no
US Gov Arizona,Event Hub endpoint,prod-usgovarizona-observabilityeventhubs.servicebus.usgovcloudapi.net,usgovarizona,['52.244.48.85/32'],no
US Gov Virginia,Metastore,consolidated-usgovvirginia-prod-metastore.mysql.database.usgovcloudapi.net,usgovvirginia,['13.72.48.140/32'],no
